plate,plate_glycerol,row,col,cross_letter,cross,genotype,strain_num,passage,contamination
IMG_070_crop.JPG,IMG_098_crop.JPG,12,18,A,L1,L,79,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,18,B,M1,M,79,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,18,A,L1,L,80,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,18,B,M1,M,80,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,19,C,H1,H,73,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,19,D,L2,L,73,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,19,C,H1,H,74,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,19,D,L2,L,74,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,19,C,H1,H,75,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,19,D,L2,L,75,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,19,C,H1,H,76,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,19,D,L2,L,76,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,19,C,H1,H,77,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,19,D,L2,L,77,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,19,C,H1,H,78,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,19,D,L2,L,78,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,19,C,H1,H,79,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,19,D,L2,L,79,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,19,C,H1,H,80,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,19,D,L2,L,80,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,20,A,L1,L,81,0,1
